"","date","prod_index_us","growth_prod_us","log_prod_us","CPI_us","inflation_us","log_inflation_us","credit_us","growth_credit_us","log_credit_us","uncertainty_index","growth_uncertainty","log_uncertainty","er_us","log_er_us","FFR","dummy"
"76","2021-04",99.0246,16.5557504207912,4.59536830411583,112.672930633668,4.15969483870255,4.72448920260968,15419.6186,4.38178423492936,9.64339591269988,207.759453645991,-43.4003699447197,5.33638093761476,119.39,4.7823954453573,0.07,1
"77","2021-05",99.7785,15.5719903398989,4.60295272924713,113.576241366653,4.99270653759472,4.73247434151444,15548.6459,4.70914391385739,9.65172883342981,196.911400005023,-54.9647446718759,5.28275388140445,117.91,4.76992162158858,0.06,1
"78","2021-06",100.1923,9.19867948814361,4.60709133939055,114.631439938907,5.39145141332138,4.74172211167157,15600.1009,5.06727147846198,9.65503266116543,187.029707321049,-45.6316601602262,5.23126746691665,118.24,4.77271645719989,0.08,1
"79","2021-07",100.8724,5.90956481202471,4.61385635178459,115.182877177586,5.3654752393846,4.74652110160319,15667.6104,5.14387385674837,9.6593508285077,206.916106829691,-41.0882862331101,5.33231343010084,119.75,4.78540623629103,0.1,1
"80","2021-08",100.837,4.9103543274728,4.61350535177801,115.420834792441,5.25127155487501,4.74858488190647,15775.9737,5.69156880348698,9.66624340975178,222.705997597914,-29.0812826612059,5.40585250518903,120.08,4.78815818732521,0.09,1
"81","2021-09",99.8498,3.93323278280358,4.60366705685531,115.734314416265,5.39034885507892,4.75129717118122,15880.3202,6.19997107513519,9.6728358983258,208.59205275184,-30.4408615844527,5.34038044381523,120.07,4.78807490604263,0.08,1
"82","2021-10",101.3602,4.68391427833721,4.61868050917589,116.695848820971,6.22186890332912,4.75957096728855,16044.9836,7.35263965088953,9.68315153141816,200.519601510834,-35.4499279147542,5.30091200511442,120.82,4.79430183471059,0.08,1
"83","2021-11",101.961,4.98639288373046,4.62459038722757,117.269225414211,6.80900283980648,4.76447236330245,16199.2733,7.95300903923097,9.69272166218963,229.807239623146,-39.405219318689,5.43724086893559,121.78,4.80221613818043,0.08,1
"84","2021-12",101.7587,3.6893965640221,4.62260432435298,117.62953712181,7.0364028655449,4.76754016992941,16390.038,9.04950944700895,9.70442899022207,270.550573823497,-10.4617582289078,5.60045904503825,122.57,4.80868229535307,0.08,1
"85","2022-01",102.146,2.90285046517134,4.6264031623961,118.619339541046,7.47987246828963,4.77591953854013,16554.6999,9.57098709403783,9.7144253223631,242.12399825623,-16.2262270505617,5.48944998441857,121.92,4.80336509193834,0.08,1
"86","2022-02",102.8987,6.93762724335425,4.63374500913532,119.70280612783,7.87106389773857,4.78501205529524,16655.3518,9.36424593950393,9.72048687319065,203.13838898121,-8.53351537558322,5.31388746589612,121.84,4.80270870858691,0.08,1
"87","2022-03",103.5717,4.76380736399491,4.64026412648558,121.301003725471,8.54245555484261,4.79827509065172,16785.3185,9.40411307729381,9.72825988450965,338.769221818091,53.0515930506801,5.82531911395851,123.39,4.81535007091044,0.2,1
"88","2022-04",104.2709,5.29797646241439,4.64699232020187,121.978170342212,8.25862934088224,4.80384209710187,16900.2508,9.60226214674338,9.73508374103774,305.322125957202,46.9594382344938,5.72136736995202,124.32,4.82285888661934,0.33,1
"89","2022-05",104.1646,4.39583677846429,4.64597234031153,123.322799630406,8.58151154367632,4.81480530492054,17005.9176,9.3723383333336,9.7413166565853,299.100817950675,51.896141078193,5.70078070033853,127.19,4.84568203146339,0.77,1
"90","2022-06",104.0772,3.87744367581142,4.64513293145959,125.016770948919,9.05975796478426,4.82844789589399,17137.8777,9.85747983206955,9.74904636301502,281.180410237169,50.3399723309756,5.63899649263487,127.73,4.84991866105469,1.21,1
"91","2022-07",104.7577,3.85169778849319,4.65165006445386,125.002004075657,8.5248147456259,4.82832976977904,17246.278,10.0759947413551,9.75535163106228,320.634870209902,54.9588744552453,5.7703029997316,130.44,4.87091335092112,1.68,1
"92","2022-08",104.6544,3.78571357735751,4.65066349291976,124.95770345587,8.26269250311606,4.82797530768842,17315.123,9.75628718245136,9.75933556047863,260.62654193119,17.0271769697643,5.56308850881831,130.23,4.86930211797961,2.33,1
"93","2022-09",104.805,4.96265390616706,4.65210148067252,125.226460549243,8.20166964383384,4.83012378257549,17310.408,9.00540909748155,9.75906321808312,270.967283370041,29.9029755905456,5.60199808801998,133.82,4.89649561335467,2.56,1
