"","date","prod_index_ind","growth_prod_ind","log_prod_ind","CPI_ind","inflation_ind","log_inflation_ind","credit_ind","growth_credit_ind","log_credit_ind","uncertainty_index","growth_uncertainty","log_uncertainty","er_ind","BI_rate","dummy"
"28","2017-04",107.408117271508,6.40320553111271,4.67663575902795,106.567201361881,4.17241659225529,4.66877578485661,4420255.51282858,9.52262635276535,15.3017080607153,180.558322239615,22.2040473884784,5.19605384048347,77.31,4.75,0
"29","2017-05",111.373565003602,6.63679854203059,4.71289000134076,106.982409034919,4.33268545513399,4.67266441940368,4460017.322523,8.77714885180829,15.3106632079625,166.346325570319,27.7499351635821,5.11407191367421,76.96,4.75,0
"30","2017-06",106.892609066335,-1.11518708730771,4.67182467687874,107.721478692926,4.36881486845233,4.67954899503936,4526434.6135044,7.76675813660921,15.3254451265275,170.868889692091,-27.4172442762905,5.14089653547039,76.43,4.75,0
"31","2017-07",109.517735464982,3.88174227036848,4.69608650385793,107.953994989827,3.87534958050277,4.68170516405582,4507140.86885608,8.31367953996023,15.3211735567548,148.13167048018,-34.6056364557793,4.99810154365304,75.83,4.75,0
"32","2017-08",112.000105745273,4.82482185273192,4.71849981544887,107.879257608681,3.82002717174204,4.68101261660789,4527179.07062674,8.37538794907229,15.3256095817716,140.350759214571,-4.15458532151668,4.94414471223089,74.93,4.5,0
"33","2017-09",111.373565003602,7.71649919460016,4.71289000134076,108.020428217513,3.72378598197909,4.68232035939974,4580521.36593235,7.93434692054078,15.337323384968,159.898284240358,3.8540337772353,5.0745378895782,74.66,4.25,0
"34","2017-10",111.508390226493,6.39424895951526,4.71409983673723,108.028732370974,3.58308782546364,4.68239723221371,4597206.41032134,8.26111244727072,15.3409593748727,153.235823284247,16.7347675863428,5.0319780634198,74.14,4.25,0
"35","2017-11",110.239446952223,4.96903790968115,4.70265479049136,108.244640360954,3.30480266286235,4.68439385397976,4645408.81320185,7.65948330579698,15.3513899378109,160.131159769877,-33.5098492210597,5.07599322798521,74.01,4.25,0
"36","2017-12",109.113259796308,4.01451576321141,4.69238642345854,109.016926632804,3.60666087917245,4.69150316038208,4781931.11661299,8.34992186522452,15.3803550221733,154.354606469447,-33.1900299962362,5.03925259481412,73.4,4.25,0
"37","2018-01",112.61871559148,8.51291456518495,4.72400791496193,109.697867216586,3.25152415194576,4.69772992512852,4675118.61184668,7.55317058509264,15.3577650919011,146.09092178397,-46.7972929737753,4.98422917982381,72.94,4.25,0
"38","2018-02",111.627353658456,5.54930633670827,4.71516612438047,109.880558592723,3.18153462258322,4.69939394487563,4704018.24775181,8.32318224392459,15.363927647752,126.467581198783,-38.9533211979237,4.83998600021506,71.05,4.25,0
"39","2018-03",110.635991725432,2.14541993117057,4.70624545862209,110.096466582702,3.40040555295529,4.70135695041349,4788782.7788894,8.76244053509734,15.3817868199518,162.243268875608,-33.7662337229048,5.08909686859486,70.09,4.25,0
"40","2018-04",114.371443489065,6.48305397622322,4.73945142793465,110.204420577692,3.41307566430287,4.7023370100494,4827237.62850655,9.20720792037508,15.3897849424565,160.129729703775,-11.3141240361828,5.07598429735304,70.02,4.25,0
"41","2018-05",117.488285406491,5.49027985473145,4.76633862994581,110.436936874593,3.22906155398544,4.70444465102531,4930483.58330646,10.5485298993709,15.4109476311285,175.102318631079,5.26371293789618,5.16537048095787,70.16,4.75,0
"42","2018-06",99.2789494207142,-7.12271850422881,4.59793355885723,111.084660844532,3.12210915818671,4.71029262090774,5028745.11409738,11.097266247796,15.4306810306518,176.40216274202,3.23831509638763,5.17276640393982,70.93,5.25,0
"43","2018-07",114.41902886185,4.47534216815064,4.73986740131835,111.39191452258,3.18461538461543,4.71305474427183,5029622.23628304,11.5923016970083,15.430855437125,226.941122473979,53.2022974819169,5.42469061147725,70.24,5.25,0
"44","2018-08",116.417614518826,3.94420053816729,4.75718385132981,111.333785448355,3.2022169194053,4.71253276521371,5084506.43650075,12.3106984985432,15.4417085201189,188.127702469692,34.0411006840929,5.23712100068736,70.07,5.5,0
"45","2018-09",114.847297216917,3.11899166844722,4.74360339570118,111.134485765297,2.88284132841377,4.71074105140853,5175052.02698442,12.9795412695571,15.4593599505887,204.084528726219,27.633970367962,5.31853426452334,68.8,5.75,0
"46","2018-10",117.416907347314,5.29871977240435,4.76573091190827,111.441739443345,3.15935121838755,4.71350193813783,5225199.15458418,13.660312115917,15.4690034707987,230.481945136148,50.4099630205995,5.44017253024147,67.86,5.75,0
"47","2018-11",115.997277059224,5.22302158273382,4.75356671720348,111.740688967932,3.2297660145759,4.71618090982488,5218223.73815104,12.3307753522424,15.4676676219027,258.328738536289,61.323217109981,5.55423295421592,70.39,6,0
"48","2018-12",115.029707812593,5.42229975287127,4.74519042380727,112.429933705175,3.1307129798906,4.72233021610726,5358011.53415503,12.0470245909789,15.4941034817822,273.479921946643,77.1763915583401,5.61122820763763,70.82,6,0
"49","2019-01",118.138618834555,4.9014084507039,4.77185867088943,112.795316457448,2.82361847085544,4.72557481743464,5249208.44605376,12.2796848993809,15.4735878510203,261.663111784653,79.109768484851,5.56705784348566,71.73,6,0
"50","2019-02",112.261825295591,0.568383658969718,4.72083386891858,112.70397076938,2.56952841596128,4.72476465351628,5287443.88214278,12.4027077205707,15.480845488974,212.928258035375,68.365881609369,5.3609552922386,72.24,6,0
"51","2019-03",119.399631213361,7.92114695340549,4.78247611228841,112.828533071291,2.48152059134135,4.72586925983648,5350336.03767263,11.7264299658516,15.4926699276796,258.826595411794,59.529943649148,5.55615832168918,71.53,6,0
"52","2019-04",118.075171670841,3.23833298661664,4.77132146969466,113.326782278936,2.83324542234926,4.73027552385026,5363822.54070733,11.1157758017143,15.4951874394485,201.18842849028,25.6408968293769,5.30424192409792,72.04,6,0
"53","2019-05",122.151651939434,3.96921830700694,4.80526332147177,114.099068550787,3.31603879991034,4.73706709338849,5479484.15527654,11.1348220249404,15.5165215222447,253.277860508509,44.6456348999794,5.53448714895753,71.48,6,0
"54","2019-06",102.88750685692,3.63476593705059,4.63363622494359,114.730184213804,3.28175226134424,4.74258314743867,5528589.19719033,9.93973788195603,15.5254432229016,335.333045950581,90.0957679532477,5.81512420498499,71.95,6,0
"55","2019-07",119.685143450072,4.60248145837729,4.78486448999113,115.087262812617,3.3174295512157,4.74569064768096,5511985.37891846,9.59044476850994,15.5224354390811,267.998575806972,18.0916763279432,5.59098166634365,72.75,5.75,0
"56","2019-08",121.041326574448,3.97166019483615,4.79613202922216,115.220129267989,3.49071380622081,4.74684446622679,5525791.9390315,8.67902338293531,15.5249371324775,319.89347970117,70.0406030061982,5.76798806444444,72.66,5.5,0
"57","2019-09",119.994448373175,4.4817346868306,4.78744547815498,114.90457143648,3.39236344616285,4.74410197028154,5580713.84654877,7.83879693284426,15.5348272556642,289.10990553942,41.6618434253109,5.66680691180239,73.59,5.25,0
"58","2019-10",125.308148334181,6.72070246538266,4.83077589038763,114.929483896862,3.12965722801744,4.74431875678381,5561328.33785786,6.43284922410636,15.5313475473791,272.552272512618,18.2531986840092,5.60783042144147,73.26,5,0
"59","2019-11",119.740659718321,3.22712976890462,4.78532823507215,115.095566966078,3.00237812128472,4.74576280035605,5582018.70540719,6.97162455102112,15.5350610440952,266.220100517,3.05477509990726,5.58432341218998,73.22,5,0
"60","2019-12",116.021069745616,0.861831218973563,4.75377181035066,115.485862178733,2.71807371297714,4.74914811709076,5683757.25024171,6.0796008745071,15.5531230597294,280.482868674572,2.56068038855723,5.63651264885369,73.37,5,0
"61","2020-01",119.375838526968,1.04726100966666,4.7822768230859,115.818028317163,2.67982036368977,4.75202023797084,5567040.27143455,6.05485243436521,15.5323741010957,239.058812497681,-8.63870307618125,5.47670959905559,74.58,5,0
"62","2020-02",115.378667213017,2.77640409749191,4.74821947747946,116.141890302133,3.05039787798411,4.75481263587597,5603979.40545362,5.98655097560223,15.5389875114597,234.664669563026,10.2083263763138,5.45815755706889,75.32,4.75,0
"63","2020-03",117.726212270417,-1.40152773165078,4.76836169355307,116.252335543161,3.03451828954175,4.75576313495951,5781564.08410748,8.05983107226349,15.570184806829,355.364567257014,37.2983200167774,5.87314421254274,68.78,4.5,1
"64","2020-04",97.5024288367359,-17.4234282643737,4.57987728883953,116.34114016027,2.65988129259211,4.75652673867759,5676052.43984651,5.82103335391118,15.551766556093,367.068571725777,82.4501411339928,5.90554867454086,66.89,4.5,1
"65","2020-05",82.4971746184909,-32.4633164524085,4.4127640457056,116.418848937096,2.03312824177564,4.75719445463697,5651482.92935145,3.13895923778302,15.5474285340566,437.238333768375,72.6318806114858,6.08047843262424,71.03,4.5,1
"66","2020-06",95.4086724341901,-7.26894318970165,4.5581694803413,116.629772759885,1.65570077229289,4.7590045823163,5617711.46886674,1.61202557284781,15.5414349269912,344.004815803158,2.58601708280655,5.84065565670319,73.33,4.25,1
"67","2020-07",102.633718202066,-14.2469021270958,4.63116651619425,116.507658967766,1.23419057890157,4.75795701305741,5607297.46330993,1.72917883193247,15.5395794258316,351.230839504085,31.0569798539009,5.86144366970552,71.16,4,1
"68","2020-08",102.356136860819,-15.4370331542396,4.62845826986836,116.452152658021,1.06927790990969,4.75748048184452,5594105.42343263,1.23626595345721,15.5372239983714,314.029928846569,-1.83296979359465,5.74948829616408,69.48,4,1
"69","2020-09",108.629475172993,-9.4712491738265,4.6879427811074,116.396646388884,1.29853402153701,4.75700372379023,5602034.2862969,0.382037859929252,15.5386403551506,299.877280689862,3.7243190026135,5.70337332659942,68.58,4,1
"70","2020-10",109.977727401905,-12.2341772151893,4.70027786712645,116.474355165875,1.34419055635835,4.75767112144263,5553639.06105991,-0.138263312842124,15.5299639575315,310.641948232103,13.9751818498309,5.73864095707546,68.71,4,1
"71","2020-11",110.033243670154,-8.1070340442443,4.70078253531782,116.79629152694,1.47766295930689,4.76043131926455,5516904.25072131,-1.16650369915108,15.5233274367879,379.252531388441,42.4582631634246,5.93820229292869,70.37,3.75,1
"72","2020-12",110.088759938403,-5.11313145122692,4.70128694894768,117.318050456867,1.58650439419017,4.76488862665842,5547617.54717419,-2.39524133550444,15.5288791227801,302.162035429699,7.72923025836563,5.71096341464607,69.75,3.75,1
"73","2021-01",109.922211133655,-7.91921339356904,4.69977294411647,117.617784310243,1.55395150412285,4.76744025115877,5460998,-1.90482314235576,15.5131421149009,289.021241054003,20.8996388940095,5.66650018386831,69.92,3.75,1
"74","2021-02",106.963987125513,-7.29309870772598,4.67249220888944,117.739898102363,1.37590992885763,4.76847793815353,5482054,-2.17569331776926,15.5169904062159,222.090517434167,-5.35834906561511,5.40308503496041,70.14,3.5,1
"75","2021-03",118.400338384873,0.572621934788442,4.77407158042617,117.839809386461,1.36554146278689,4.76932615459079,5556955,-3.88491904335873,15.5305608543347,221.343153028087,-37.7137808823798,5.39971422591493,69.42,3.5,1
"76","2021-04",116.377960041505,19.3590369285831,4.75684317064652,117.995226941442,1.42175569097343,4.77064417399876,5543358,-2.33779446636152,15.5281110122806,207.759453645991,-43.4003699447197,5.33638093761476,68.79,3.5,1
"77","2021-05",103.173019093631,25.0624879830804,4.63640737597414,118.372669571644,1.67826829794864,4.77383786448368,5575627,-1.34223053134401,15.5339153353543,196.911400005023,-54.9647446718759,5.28275388140445,69.31,3.5,1
"78","2021-06",116.948984514927,22.5768911055698,4.76173780992218,118.183948262356,1.33257183452693,4.77224229424723,5644857,0.483213338451072,15.5462554230927,187.029707321049,-45.6316601602262,5.23126746691665,69.3,3.5,1
"79","2021-07",112.785264396228,9.89104396878184,4.72548569574528,118.272758293026,1.51500711704142,4.7729934679918,5623380,0.286814402041324,15.5424434645748,206.916106829691,-41.0882862331101,5.33231343010084,69.47,3.5,1
"80","2021-08",115.93382989551,13.2651479931815,4.75301959641291,118.306062051403,1.59199237718368,4.77327501270953,5644525,0.90129829080754,15.5461966067642,222.705997597914,-29.0812826612059,5.40585250518903,70.22,3.5,1
"81","2021-09",116.695195860073,7.42498357304526,4.75956537186479,118.261657036109,1.60228898777199,4.77289960209994,5707484,1.88234681035493,15.5572888540532,208.59205275184,-30.4408615844527,5.34038044381523,70.74,3.5,1
"82","2021-10",115.687972136121,5.19218288021934,4.7508966714588,118.405973335917,1.65840640825281,4.77411917164959,5707891.67647136,2.7775052306336,15.557360279906,200.519601510834,-35.4499279147542,5.30091200511442,71.59,3.5,1
"83","2021-11",118.392407489409,7.5969439238865,4.7740045944597,118.838922235257,1.74888318936552,4.77776898151304,5754719.85179241,4.31067117106494,15.5655309198555,229.807239623146,-39.405219318689,5.43724086893559,71.34,3.5,1
"84","2021-12",115.98934616376,5.35984439161501,4.75349834347264,119.516098718835,1.87358062413092,4.78345107961043,5820636.35465315,4.92137039291809,15.576920153018,270.550573823497,-10.4617582289078,5.60045904503825,71.48,3.5,1
"85","2022-01",112.499752159517,2.34487734487796,4.72295101861553,120.182173944334,2.18027371381768,4.78900870781136,5759876.95665757,5.47297319386622,15.5664266707525,242.12399825623,-16.2262270505617,5.48944998441857,71.25,3.5,1
"86","2022-02",104.917816095752,-1.91295321420657,4.65317733983496,120.159971436646,2.05544031656881,4.78882395030479,5811902.46553612,6.01687735173935,15.5754185219651,203.13838898121,-8.53351537558322,5.31388746589612,71.13,3.5,1
"87","2022-03",118.614472562406,0.180856051979283,4.77587850746958,120.948160436245,2.63777671227388,4.7953620276493,5915764.76927092,6.45694934133747,15.5931313402358,338.769221818091,53.0515930506801,5.82531911395851,72.14,3.5,1
